ID,Nama_Pelanggan,Tanggal_Pembelian,Jumlah_Pembelian,Kategori_Buku,Harga_Satuan,Total_Harga
TRX001944,"Balidin Dongoran, S.T.",2024-08-30,7,Komik,40000,280000
TRX002455,Darmana Mandala,2024-12-05,20,Biografi,55000,1100000
TRX003512,"Ciaobella Wastuti, M.Pd",2024-08-14,15,Pelajaran,75000,1125000
TRX003354,Lantar Anggraini,2025-04-14,11,Biografi,55000,605000
TRX002721,Among Iswahyudi,2024-07-04,8,Biografi,55000,440000
TRX000386,Daruna Mayasari,2024-05-28,7,Non-Fiksi,60000,420000
TRX006953,Cut Putri Napitupulu,2024-07-25,19,Pelajaran,75000,1425000
TRX002044,"Sadina Palastri, S.Farm",2024-09-05,11,Pelajaran,75000,825000
TRX004310,Ikin Rahmawati,2024-07-20,11,Pelajaran,75000,825000
TRX008547,Yessi Ardianto,2024-06-03,4,Biografi,55000,220000
TRX003287,"KH. Capa Anggraini, S.Psi",2024-10-17,8,Komik,40000,320000
TRX004941,Eva Pratama,2024-05-28,3,Pelajaran,75000,225000
TRX007296,"Tgk. Baktiono Iswahyudi, S.Sos",2025-01-30,2,Biografi,55000,110000
TRX005504,Gatot Situmorang,2024-11-06,12,Non-Fiksi,60000,720000
TRX001510,Tgk. Yani Gunawan,2024-12-10,6,Komik,40000,240000
TRX006509,"Michelle Nasyiah, S.IP",2025-01-20,2,Non-Fiksi,60000,120000
TRX002149,Cindy Puspasari,2024-06-11,1,Komik,40000,40000
TRX001156,Yance Utami,2024-11-09,12,Biografi,55000,660000
TRX003482,dr. Ratih Nababan,2025-03-26,12,Fiksi,50000,600000
TRX006840,"Betania Gunawan, S.H.",2025-05-04,17,Komik,40000,680000
TRX002169,"T. Bahuwirya Pradipta, S.IP",2025-04-30,10,Non-Fiksi,60000,600000
TRX005721,Indah Hasanah,2024-12-20,16,Biografi,55000,880000
TRX008795,"Rafid Utama, S.E.",2024-06-12,15,Komik,40000,600000
TRX001132,Kamila Pranowo,2024-07-23,15,Fiksi,50000,750000
TRX004533,"Emas Zulaika, S.Pt",2025-04-27,19,Fiksi,50000,950000
TRX002603,Hj. Ella Nasyidah,2024-12-02,12,Pelajaran,75000,900000
TRX000094,"Hesti Marpaung, M.M.",2024-09-30,20,Pelajaran,75000,1500000
TRX000817,Humaira Uyainah,2024-05-27,3,Non-Fiksi,60000,180000
TRX006386,"Puti Prasetya, S.Psi",2024-06-05,5,Komik,40000,200000
TRX005177,"Cut Ghaliyati Firmansyah, S.Psi",2024-09-07,19,Komik,40000,760000
TRX005048,Hasna Haryanto,2025-03-06,7,Pelajaran,75000,525000
TRX003965,Vino Purnawati,2024-11-07,9,Komik,40000,360000
TRX004973,"Iriana Prabowo, M.Kom.",2024-06-12,7,Komik,40000,280000
TRX002863,Syahrini Haryanti,2025-04-02,18,Fiksi,50000,900000
TRX005911,Eman Mandala,2025-02-01,4,Pelajaran,75000,300000
TRX009179,Panca Purwanti,2025-04-13,14,Biografi,55000,770000
TRX004553,T. Pangeran Padmasari,2024-06-07,18,Pelajaran,75000,1350000
TRX006382,Restu Wacana,2025-03-08,9,Biografi,55000,495000
TRX003203,Gawati Mandala,2024-11-13,2,Fiksi,50000,100000
TRX001424,drg. Bakijan Hardiansyah,2024-06-19,20,Non-Fiksi,60000,1200000
TRX003341,"Puti Eva Utami, S.E.",2024-07-22,15,Komik,40000,600000
TRX006800,"Ir. Indra Riyanti, S.Pt",2025-04-10,7,Fiksi,50000,350000
TRX006682,Kezia Riyanti,2024-06-26,12,Komik,40000,480000
TRX000761,Paris Ramadan,2025-03-04,8,Non-Fiksi,60000,480000
TRX000145,Dt. Maman Latupono,2025-02-02,15,Non-Fiksi,60000,900000
TRX006862,"Timbul Nasyiah, S.T.",2024-06-11,3,Fiksi,50000,150000
TRX000134,"Ir. Ganep Kusumo, S.Pd",2024-12-17,14,Non-Fiksi,60000,840000
TRX001679,Endah Hasanah,2025-01-24,17,Biografi,55000,935000
TRX004865,Xanana Saptono,2024-09-02,4,Non-Fiksi,60000,240000
TRX005221,KH. Cemani Mayasari,2025-04-29,18,Komik,40000,720000
TRX007349,Tedi Utami,2025-03-30,8,Komik,40000,320000
TRX002458,Zaenab Uyainah,2025-03-18,4,Komik,40000,160000
TRX006811,Drs. Dalimin Mangunsong,2024-05-11,2,Komik,40000,80000
TRX002421,Vanesa Marpaung,2024-06-26,6,Biografi,55000,330000
TRX000194,KH. Virman Nuraini,2024-08-30,10,Pelajaran,75000,750000
TRX009872,Liman Sinaga,2025-04-21,4,Fiksi,50000,200000
TRX005314,Anita Kusumo,2024-11-01,18,Komik,40000,720000
TRX001339,Yance Samosir,2025-01-19,12,Non-Fiksi,60000,720000
TRX002519,Asmianto Permadi,2025-04-06,2,Komik,40000,80000
TRX003474,Puti Chelsea Laksita,2024-05-06,10,Non-Fiksi,60000,600000
TRX003568,"Puti Vanya Nasyidah, S.E.I",2024-07-06,4,Non-Fiksi,60000,240000
TRX003779,Maryanto Kusmawati,2025-05-02,14,Komik,40000,560000
TRX007055,R.M. Eman Nuraini,2024-11-23,16,Biografi,55000,880000
TRX004922,"Ir. Lintang Prabowo, M.Pd",2024-12-06,15,Non-Fiksi,60000,900000
TRX008575,"H. Muhammad Pangestu, S.Pd",2025-03-12,8,Non-Fiksi,60000,480000
TRX006154,Salsabila Yulianti,2025-01-14,14,Komik,40000,560000
TRX001494,Maida Maryati,2024-06-08,8,Non-Fiksi,60000,480000
TRX006914,Devi Prayoga,2024-08-25,16,Non-Fiksi,60000,960000
TRX006545,Atma Sirait,2024-06-09,13,Komik,40000,520000
TRX006251,Lanjar Puspasari,2024-06-20,18,Komik,40000,720000
TRX004642,Lanjar Prasetya,2024-06-25,15,Fiksi,50000,750000
TRX009072,Bagus Usamah,2025-03-27,13,Biografi,55000,715000
TRX005753,Dartono Hidayat,2024-11-28,9,Biografi,55000,495000
TRX004334,Satya Sitompul,2024-10-30,15,Non-Fiksi,60000,900000
TRX007525,Kamidin Prakasa,2025-03-31,13,Biografi,55000,715000
TRX006533,Salsabila Laksita,2025-01-05,1,Non-Fiksi,60000,60000
TRX007949,Kayun Mustofa,2024-08-29,7,Fiksi,50000,350000
